ReferenceCodeProduct;ReferenceCodeCombination;Name;Category;Size;Color;HexaColor;Price;Weight;Quantity;Description;ShortDescription;Active;MetaKeyword;MetaDescription;MetaTitle
RSC14LB0108002;0014L040068;TERTIARY TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;M;WHITE;#000000;70000;1;2;TERTIARY TS KIDS WHITE-NAVY BLUE;TERTIARY TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSTERTIARY-TS-KIDS-WHITE-NAVY-BLUE
RSC14LB0108002;0014L040069;TERTIARY TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;L;WHITE;#000000;70000;1;2;TERTIARY TS KIDS WHITE-NAVY BLUE;TERTIARY TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSTERTIARY-TS-KIDS-WHITE-NAVY-BLUE
RSC14LB0108002;0014L040070;TERTIARY TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;XL;WHITE;#000000;70000;1;1;TERTIARY TS KIDS WHITE-NAVY BLUE;TERTIARY TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSTERTIARY-TS-KIDS-WHITE-NAVY-BLUE
RSC14LM0101004;0014L020044;TST&S—CH SS WHITE;RSCH,MALE,T-SHIRTS,1;S;WHITE;#000000;95000;1;6;TST&S—CH SS WHITE;TST&S—CH SS WHITE;0;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH-MALE-T-SHIRTSTST&S—CH-SS-WHITE
RSC14LM0101004;0014L020045;TST&S—CH SS WHITE;RSCH,MALE,T-SHIRTS,1;M;WHITE;#000000;95000;1;12;TST&S—CH SS WHITE;TST&S—CH SS WHITE;0;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH-MALE-T-SHIRTSTST&S—CH-SS-WHITE
RSC14LM0101004;0014L020046;TST&S—CH SS WHITE;RSCH,MALE,T-SHIRTS,1;L;WHITE;#000000;95000;1;9;TST&S—CH SS WHITE;TST&S—CH SS WHITE;0;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH-MALE-T-SHIRTSTST&S—CH-SS-WHITE
RSC14LM0101004;0014L020047;TST&S—CH SS WHITE;RSCH,MALE,T-SHIRTS,1;XL;WHITE;#000000;95000;1;2;TST&S—CH SS WHITE;TST&S—CH SS WHITE;0;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH MALE TSHIRTSTST&S—CH SS WHITE;RSCH-MALE-T-SHIRTSTST&S—CH-SS-WHITE
RSC14LM0101012;0014L040001;TRISET SS WHITE;RSCH,MALE,T-SHIRTS,1;S;WHITE;#000000;95000;1;6;TRISET SS WHITE;TRISET SS WHITE;0;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH-MALE-T-SHIRTSTRISET-SS-WHITE
RSC14LM0101012;0014L040002;TRISET SS WHITE;RSCH,MALE,T-SHIRTS,1;M;WHITE;#000000;95000;1;14;TRISET SS WHITE;TRISET SS WHITE;0;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH-MALE-T-SHIRTSTRISET-SS-WHITE
RSC14LM0101012;0014L040003;TRISET SS WHITE;RSCH,MALE,T-SHIRTS,1;L;WHITE;#000000;95000;1;7;TRISET SS WHITE;TRISET SS WHITE;0;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH-MALE-T-SHIRTSTRISET-SS-WHITE
RSC14LM0101012;0014L040004;TRISET SS WHITE;RSCH,MALE,T-SHIRTS,1;XL;WHITE;#000000;95000;1;3;TRISET SS WHITE;TRISET SS WHITE;0;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH MALE TSHIRTSTRISET SS WHITE;RSCH-MALE-T-SHIRTSTRISET-SS-WHITE
RSC14LM0101013;0014L040006;FLUTTER SS FUJI GREEN;RSCH,MALE,T-SHIRTS,1;S;GREEN;#000000;95000;1;5;FLUTTER SS FUJI GREEN;FLUTTER SS FUJI GREEN;0;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH-MALE-T-SHIRTSFLUTTER-SS-FUJI-GREEN
RSC14LM0101013;0014L040007;FLUTTER SS FUJI GREEN;RSCH,MALE,T-SHIRTS,1;M;GREEN;#000000;95000;1;10;FLUTTER SS FUJI GREEN;FLUTTER SS FUJI GREEN;0;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH-MALE-T-SHIRTSFLUTTER-SS-FUJI-GREEN
RSC14LM0101013;0014L040008;FLUTTER SS FUJI GREEN;RSCH,MALE,T-SHIRTS,1;L;GREEN;#000000;95000;1;8;FLUTTER SS FUJI GREEN;FLUTTER SS FUJI GREEN;0;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH-MALE-T-SHIRTSFLUTTER-SS-FUJI-GREEN
RSC14LM0101013;0014L040009;FLUTTER SS FUJI GREEN;RSCH,MALE,T-SHIRTS,1;XL;GREEN;#000000;95000;1;2;FLUTTER SS FUJI GREEN;FLUTTER SS FUJI GREEN;0;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH MALE TSHIRTSFLUTTER SS FUJI GREEN;RSCH-MALE-T-SHIRTSFLUTTER-SS-FUJI-GREEN
RSC14LM0101014;0014L040011;NEU&SCH SS BLACK;RSCH,MALE,T-SHIRTS,1;S;BLACK;#000000;95000;1;6;NEU&SCH SS BLACK;NEU&SCH SS BLACK;0;RSCH MALE TSHIRTSNEU&SCH SS BLACK;RSCH MALE TSHIRTSNEU&SCH SS BLACK;RSCH-MALE-T-SHIRTSNEU&SCH-SS-BLACK
