ReferenceCodeProduct;ReferenceCodeCombination;Name;Category;Size;Color;HexaColor;Price;Weight;Quantity;Description;ShortDescription;Active;MetaKeyword;MetaDescription;MetaTitle
RSC14LM1011001;0014L040109;SP HAKU SFT BLUE;RSCH,MALE,PANTS,2;34;BLUE;#000000;195000;1;3;SP HAKU SFT BLUE;SP HAKU SFT BLUE;0;RSCH MALE PANTSSP HAKU SFT BLUE;RSCH MALE PANTSSP HAKU SFT BLUE;RSCH-MALE-PANTSSP-HAKU-SFT-BLUE
RSC14LM1011002;0014L040116;SP POLAV GREY STRIPES;RSCH,MALE,PANTS,3;28;MULTI COLOUR;#000000;220000;1;4;SP POLAV GREY STRIPES;SP POLAV GREY STRIPES;0;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH-MALE-PANTSSP-POLAV-GREY-STRIPES
RSC14LM1011002;0014L040117;SP POLAV GREY STRIPES;RSCH,MALE,PANTS,3;30;MULTI COLOUR;#000000;220000;1;8;SP POLAV GREY STRIPES;SP POLAV GREY STRIPES;0;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH-MALE-PANTSSP-POLAV-GREY-STRIPES
RSC14LM1011002;0014L040118;SP POLAV GREY STRIPES;RSCH,MALE,PANTS,3;32;MULTI COLOUR;#000000;220000;1;8;SP POLAV GREY STRIPES;SP POLAV GREY STRIPES;0;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH-MALE-PANTSSP-POLAV-GREY-STRIPES
RSC14LM1011002;0014L040119;SP POLAV GREY STRIPES;RSCH,MALE,PANTS,3;34;MULTI COLOUR;#000000;220000;1;4;SP POLAV GREY STRIPES;SP POLAV GREY STRIPES;0;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH MALE PANTSSP POLAV GREY STRIPES;RSCH-MALE-PANTSSP-POLAV-GREY-STRIPES
RSC14LY1011001;0014L040079;SP CARTER TODDLER DIM GREY;RSCH,GIRL TODDLER,PANTS,2;S;GREY;#000000;180000;1;1;SP CARTER TODDLER DIM GREY;SP CARTER TODDLER DIM GREY;0;RSCH GIRL TODDLER PANTSSP CARTER TODDLER DIM GREY;RSCH GIRL TODDLER PANTSSP CARTER TODDLER DIM GREY;RSCH-GIRL-TODDLER-PANTSSP-CARTER-TODDLER-DIM-GREY
RSC14LY1011001;0014L040080;SP CARTER TODDLER DIM GREY;RSCH,GIRL TODDLER,PANTS,2;M;GREY;#000000;180000;1;2;SP CARTER TODDLER DIM GREY;SP CARTER TODDLER DIM GREY;0;RSCH GIRL TODDLER PANTSSP CARTER TODDLER DIM GREY;RSCH GIRL TODDLER PANTSSP CARTER TODDLER DIM GREY;RSCH-GIRL-TODDLER-PANTSSP-CARTER-TODDLER-DIM-GREY
RSC14LY1011001;0014L040081;SP CARTER TODDLER DIM GREY;RSCH,GIRL TODDLER,PANTS,2;L;GREY;#000000;180000;1;2;SP CARTER TODDLER DIM GREY;SP CARTER TODDLER DIM GREY;0;RSCH GIRL TODDLER PANTSSP CARTER TODDLER DIM GREY;RSCH GIRL TODDLER PANTSSP CARTER TODDLER DIM GREY;RSCH-GIRL-TODDLER-PANTSSP-CARTER-TODDLER-DIM-GREY
RSC14LF0601001;0014L040051;POLO KLERA.2 SS DRK GREY;RSCH,FEMALE,SHIRTS,2;S;GREY;#000000;115000;1;3;POLO KLERA.2 SS DRK GREY;POLO KLERA.2 SS DRK GREY;0;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH-FEMALE-SHIRTSPOLO-KLERA.2-SS-DRK-GREY
RSC14LF0601001;0014L040052;POLO KLERA.2 SS DRK GREY;RSCH,FEMALE,SHIRTS,2;M;GREY;#000000;115000;1;8;POLO KLERA.2 SS DRK GREY;POLO KLERA.2 SS DRK GREY;0;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH-FEMALE-SHIRTSPOLO-KLERA.2-SS-DRK-GREY
