LR0038;1803142;Niion;Sling Bag;LUNAR RUNNING  PEARLY PURPLE;ALL SIZE;PEARLY PURPLE;#b6768a2;109000;0.3;0;-;-;1
LU0039;1803143;Niion;Sling Bag;LUNAR URBAN BLACK;ALL SIZE;BLACK;#000000;149000;0.3;0;-;-;1
LU0040;1803144;Niion;Sling Bag;LUNAR URBAN  MAROON;ALL SIZE;MAROON;#800000;149000;0.3;0;-;-;1
LU0041;1803145;Niion;Sling Bag;LUNAR URBAN LIGHT GREY;ALL SIZE;LIGHT GREY;#cccccc;1490000;0.3;0;-;-;1
LU0042;1803146;Niion;Sling Bag;LUNAR URBAN NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;149000;0.3;0;-;-;1
LU0043;1803147;Niion;Sling Bag;LUNAR URBAN OCEAN BLUE;ALL SIZE;OCEAN BLUE;#70d1ff;149000;0.3;0;-;-;1
LU0044;1803148;Niion;Sling Bag;LUNAR URBAN MEDIUM BLUE;ALL SIZE;MEDIUM BLUE;#000066;149000;0.3;0;-;-;1
LU0045;1803149;Niion;Sling Bag;LUNAR URBAN MAGENTA;ALL SIZE;MAGENTA;#f049a3;149000;0.3;0;-;-;1
LU0046;1803150;Niion;Sling Bag;LUNAR URBAN YELLOW;ALL SIZE;YELLOW;#ffe100;149000;0.3;0;-;-;1
LU0047;1803151;Niion;Sling Bag;LUNAR URBAN TOSCA;ALL SIZE;TOSCA;#12af92;149000;0.3;0;-;-;1
HB0048;1803152;Niion;Sling Bag;HIPBAG  BLACK;ALL SIZE;BLACK;#000000;169000;0.4;0;-;-;1
HB0049;1803153;Niion;Sling Bag;HIPBAG  NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;169000;0.4;0;-;-;1
HB0050;1803154;Niion;Sling Bag;HIPBAG  DARK GREY;ALL SIZE;DARK GREY;#555555;169000;0.4;0;-;-;1
HB0051;1803155;Niion;Sling Bag;HIPBAG  YELLOW;ALL SIZE;YELLOW;#ffe100;169000;0.4;0;-;-;1
HB0052;1803156;Niion;Sling Bag;HIPBAG  RED;ALL SIZE;RED;#d12525;169000;0.4;0;-;-;1
HB0053;1803157;Niion;Sling Bag;HIPBAG  KELLY GREEN;ALL SIZE;KELLY GREEN;#4cbb17;169000;0.4;0;-;-;1
