1308111002002;0013H190085;SP VALLA GREY-BLACK;GUMMO,MALE,PANTS,2;32;MULTI COLOUR;#000000;190000;1;0;SP VALLA GREY-BLACK;SP VALLA GREY-BLACK;0;GUMMO MALE PANTSSP VALLA GREYBLACK;GUMMO MALE PANTSSP VALLA GREYBLACK;GUMMO-MALE-PANTSSP-VALLA-GREY-BLACK;
1308111002002;0013H190086;SP VALLA GREY-BLACK;GUMMO,MALE,PANTS,2;34;MULTI COLOUR;#000000;190000;1;0;SP VALLA GREY-BLACK;SP VALLA GREY-BLACK;0;GUMMO MALE PANTSSP VALLA GREYBLACK;GUMMO MALE PANTSSP VALLA GREYBLACK;GUMMO-MALE-PANTSSP-VALLA-GREY-BLACK;
1308111002002;0013H190087;SP VALLA GREY-BLACK;GUMMO,MALE,PANTS,2;36;MULTI COLOUR;#000000;190000;1;0;SP VALLA GREY-BLACK;SP VALLA GREY-BLACK;0;GUMMO MALE PANTSSP VALLA GREYBLACK;GUMMO MALE PANTSSP VALLA GREYBLACK;GUMMO-MALE-PANTSSP-VALLA-GREY-BLACK;
1309111001002;0013I110064;LP GULBEE BLUE WASH DENIM;GUMMO,MALE,PANTS,3;28;WASH DENIM;#000000;240000;1;0;LP GULBEE BLUE WASH DENIM;LP GULBEE BLUE WASH DENIM;0;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO-MALE-PANTSLP-GULBEE-BLUE-WASH-DENIM;
1309111001002;0013I110065;LP GULBEE BLUE WASH DENIM;GUMMO,MALE,PANTS,3;30;WASH DENIM;#000000;240000;1;2;LP GULBEE BLUE WASH DENIM;LP GULBEE BLUE WASH DENIM;0;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO-MALE-PANTSLP-GULBEE-BLUE-WASH-DENIM;
1309111001002;0013I110066;LP GULBEE BLUE WASH DENIM;GUMMO,MALE,PANTS,3;32;WASH DENIM;#000000;240000;1;4;LP GULBEE BLUE WASH DENIM;LP GULBEE BLUE WASH DENIM;0;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO-MALE-PANTSLP-GULBEE-BLUE-WASH-DENIM;
1309111001002;0013I110067;LP GULBEE BLUE WASH DENIM;GUMMO,MALE,PANTS,3;34;WASH DENIM;#000000;240000;1;0;LP GULBEE BLUE WASH DENIM;LP GULBEE BLUE WASH DENIM;0;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO-MALE-PANTSLP-GULBEE-BLUE-WASH-DENIM;
1309111001002;0013I110068;LP GULBEE BLUE WASH DENIM;GUMMO,MALE,PANTS,3;36;WASH DENIM;#000000;240000;1;1;LP GULBEE BLUE WASH DENIM;LP GULBEE BLUE WASH DENIM;0;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO MALE PANTSLP GULBEE BLUE WASH DENIM;GUMMO-MALE-PANTSLP-GULBEE-BLUE-WASH-DENIM;
1309111001003;0013I110069;LP DEFVO BLUE WASH DENIM;GUMMO,MALE,PANTS,3;28;WASH DENIM;#000000;240000;1;0;LP DEFVO BLUE WASH DENIM;LP DEFVO BLUE WASH DENIM;0;GUMMO MALE PANTSLP DEFVO BLUE WASH DENIM;GUMMO MALE PANTSLP DEFVO BLUE WASH DENIM;GUMMO-MALE-PANTSLP-DEFVO-BLUE-WASH-DENIM;
1309111001003;0013I110070;LP DEFVO BLUE WASH DENIM;GUMMO,MALE,PANTS,3;30;WASH DENIM;#000000;240000;1;0;LP DEFVO BLUE WASH DENIM;LP DEFVO BLUE WASH DENIM;0;GUMMO MALE PANTSLP DEFVO BLUE WASH DENIM;GUMMO MALE PANTSLP DEFVO BLUE WASH DENIM;GUMMO-MALE-PANTSLP-DEFVO-BLUE-WASH-DENIM;
1309111001003;0013I110071;LP DEFVO BLUE WASH DENIM;GUMMO,MALE,PANTS,3;32;WASH DENIM;#000000;240000;1;2;LP DEFVO BLUE WASH DENIM;LP DEFVO BLUE WASH DENIM;0;GUMMO MALE PANTSLP DEFVO BLUE WASH DENIM;GUMMO MALE PANTSLP DEFVO BLUE WASH DENIM;GUMMO-MALE-PANTSLP-DEFVO-BLUE-WASH-DENIM;
