Name;CityName
Bungku Barat;Kab Morowali
Bungku;Kab Morowali
Bungku Selatan;Kab Morowali
Bungku Tengah;Kab Morowali
Bungku Utara;Kab Morowali
Bungoro;Kab Pangkajene Kepulauan
Bungur;Kab tapin
Bunguran Barat;Kab Natuna
Bunguran Tengah;Kab Natuna
Bunguran Timur;Kab Natuna
Bunguran Timur Laut;Kab Natuna
Bunguran Utara;Kab Natuna
Bungursari;Kab Purwakarta
Bungus Teluk Kabung;Kota Padang
Bunobogu;Kab Buol
Bunta;Kab Banggai
Buntao Rantebua;Kab Tana Toraja Utara
Buntok;Kab Barito Selatan
Buntu Pane;Kab Asahan
Buntu Pepasan;Kab Tana Toraja Utara
Bunut Hilir;Kab Kapuas Hulu
Bunut Hulu;Kab Kapuas Hulu
Bunut;Kab Pelalawan
Buol;Kab Buol
Buranga;Kab Buton Utara
Burau;Kab Luwu Timur
Burmeso;Kab Mamberamo Raya
Burneh;Kab Bangkalan
Buru;Kab Karimun
Buruwai;Kab Kaimana
Busang ;Kab Kutai Timur
Busung Biu;Kab Buleleng
Butuh;Kab Purworejo
Buyasuri;Kab Lembata
Cabangbungin ;Kab Bekasi
Cadas Sari;Kab Pandeglang
Cakranegara;Kota Mataram
Cakung ;Kota Jakarta Timur
Camba;Kab Maros
Cambai;Kota Prabumulih
Campaka;Kab Cianjur
Campaka;Kab Purwakarta
Campaka Mulya;Kab Cianjur
Campalagian;Kab Polewali Mandar
Camplong;Kab Sampang
Campurdarat;Kab Tulungagung
Candi;Kab Sidoarjo
Candi Laras Selatan;Kab tapin
Candi Laras Utara;Kab tapin
Candimulyo;Kab Magelang
Candipuro;Kab Lampung Selatan
Candipuro;Kab Lumajang
Candiroto;Kab Temanggung
Candisari;Kota Semarang
Candung;Kab Agam
Cangkringan;Kab Sleman
Cangkuang;Kab Bandung
Cantigi;Kab Indramayu
Carenang;Kab Serang
Caringin;Kab Bogor
Caringin;Kab Garut
Caringin;Kab SuKabumi
Carita;Kab Pandeglang
Cariu;Kab Bogor
Caruban;Kab Madiun
Cawas;Kab Klaten
Celala;Kab Aceh Tengah
Cempa;Kab Pinrang
Cempaga;Kab Kotawaringin Timur
Cempaka ;Kota Banjarbaru
Cempaka;Kab Ogan Komering Ulu Timur
Cempaka Putih ;Kota Jakarta Pusat
Cengal;Kab Ogan Komering Ilir
Cengkareng ;Kota Jakarta Barat
Cenrana ;Kab Bone
Cenrana ;Kab Maros
Ceper;Kab Klaten
Cepiring;Kab Kendal
Cepogo;Kab Boyolali
Cepu;Kab Blora
Cerbon;Kab Barito Kuala
Cerenti;Kab Kuantan Singingi
Cerme;Kab Gresik
Cermee;Kab Bondowoso
Ciamis;Kab Ciamis
Ciampea;Kab Bogor
Ciampel;Kab Karawang
Cianjur;Kab Cianjur
Ciasem;Kab Subang
Ciawi ;Kab Bogor
Ciawi ;Kab Tasikmalaya
Ciawi Gebang;Kab Kuningan
Cibadak ;Kab Lebak
Cibadak ;Kab SuKabumi
Cibal;Kab Manggarai
Cibaliung;Kab Pandeglang
Cibalong ;Kab Garut
Cibalong ;Kab Tasikmalaya
Cibarusah;Kab Bekasi
Cibatu ;Kab Garut
Cibatu ;Kab Purwakarta
Cibeber ;Kab Cianjur
Cibeber ;Kab Lebak
Cibeber;Kota Cilegon
Cibeunying Kaler;Kota Bandung
Cibeunying Kidul;Kota Bandung
Cibeureum ;Kab Kuningan
Cibeureum ;Kota SuKabumi
Cibeureum ;Kota Tasikmalaya
Cibingbin;Kab Kuningan
Cibinong;Kab Bogor
Cibinong;Kab Cianjur
Cibiru;Kota Bandung
Cibitung ;Kab Bekasi
Cibitung ;Kab Pandeglang
Cibitung;Kab SuKabumi
Cibiuk;Kab Garut
Cibodas ;Kota Tangerang
Cibogo;Kab Subang
Cibuaya;Kab Karawang
Cibubur;Kota Depok
Cibugel;Kab Sumedang
Cibungbulang ;Kab Bogor
Cicadas;Kota Bandung
Cicalengka;Kab Bandung
Cicantayan;Kab SuKabumi
Cicendo;Kota Bandung
Cicurug;Kab SuKabumi
Cidadap;Kab SuKabumi
Cidadap;Kota Bandung
Cidahu ;Kab SuKabumi
Cidahu;Kab Kuningan
Cidaun;Kab Cianjur
Cidolog ;Kab SuKabumi
Cidolog ;Kab Ciamis
Ciemas;Kab SuKabumi
Cigalontang;Kab Tasikmalaya
Cigandamekar ;Kab Kuningan
Cigasong ;Kab Majalengka
Cigedug;Kab Garut
Cigeulis;Kab Pandeglang
Cigombong;Kab Bogor
Cigudeg;Kab Bogor
Cigugur ;Kab Ciamis
Cigugur;Kab Kuningan
Cihampelas ;Kab Bandung Barat
Cihaurbeuti;Kab Ciamis
Cihideung;Kota Tasikmalaya
Cihurip;Kab Garut
Cijaku;Kab Lebak
Cijambe;Kab Subang
Cijati;Kab Cianjur
Cijeruk;Kab Bogor
Cijeungjing;Kab Ciamis
Cijulang;Kab Ciamis
Cikadu;Kab Cianjur
Cikajang;Kab Garut
Cikakak;Kab SuKabumi
Cikalong;Kab Tasikmalaya
CIKALONG KULON;Kab Cianjur
Cikalong Wetan ;Kab Bandung Barat
Cikampek;Kab Karawang
Cikancung;Kab Bandung
Cikande;Kab Serang
Cikarang Barat;Kab Bekasi
Cikarang;Kab Bekasi
Cikarang Pusat ;Kab Bekasi
Cikarang Selatan ;Kab Bekasi
Cikarang Timur;Kab Bekasi
Cikarang Utara;Kab Bekasi
Cikatomas;Kab Tasikmalaya
Cikaum;Kab Subang
Cikedal;Kab Pandeglang
Cikedung ;Kab Indramayu
Cikelet;Kab Garut
Cikembar;Kab SuKabumi
Cikeusal;Kab Serang
Cikeusik;Kab Pandeglang
Cikidang;Kab SuKabumi
Cikijing;Kab Majalengka
Cikole;Kota SuKabumi
Cikoneng;Kab Ciamis
Cikulur;Kab Lebak
Cikupa;Kab Tangerang
Cilacap;Kab Cilacap
Cilacap Selatan;Kab Cilacap
Cilacap Tengah;Kab Cilacap
Cilacap Utara;Kab Cilacap
Cilaku;Kab Cianjur
Cilamaya Kulon;Kab Karawang
Cilamaya Wetan;Kab Karawang
Cilandak;Kota Jakarta Selatan
Cilawu;Kab Garut
Cilebak;Kab Kuningan
Cilebar;Kab Karawang
Ciledug ;Kab Cirebon
Ciledug ;Kota Tangerang
Cilegon;Kota Cilegon
Cileles;Kab Lebak
Cilengkrang;Kab Bandung
Cileungsi;Kab Bogor
Cileunyi;Kab Bandung
Cililin;Kab Bandung Barat
Cilimus;Kab Kuningan
Cilincing ;Kota Jakarta Utara
Cilongok;Kab Banyumas
Cimahi ;Kota Cimahi
Cimahi;Kab Kuningan
Cimahi Selatan;Kota Cimahi
Cimahi Tengah;Kota Cimahi
Cimahi Utara;Kota Cimahi
Cimalaka;Kab Sumedang
Cimanggis;Kota Depok
Cimanggu ;Kab Cilacap
Cimanggu ;Kab Pandeglang
Cimanggu;Kab Sumedang
Cimanuk;Kab Pandeglang
Cimaragas;Kab Ciamis
Cimareme;Kab Bandung Barat
Cimarga;Kab Lebak
Cimaung;Kab Bandung
Cimenyan;Kab Bandung
Cimerak;Kab Ciamis
Cina;Kab Bone
Cinangka;Kab Serang
Cineam;Kab Tasikmalaya
Cingambul ;Kab Majalengka
Ciniru;Kab Kuningan
Ciomas;Kab Bogor
Ciomas;Kab Serang
Cipaku;Kab Ciamis
Cipanas ;Kab Cianjur
Cipanas ;Kab Lebak
Ciparay;Kab Bandung
Cipari;Kab Cilacap
Cipatat;Kab Bandung Barat
Cipatujah;Kab Tasikmalaya
Cipayung ;Kota Jakarta Timur
Cipedes;Kota Tasikmalaya
Cipeucang;Kab Pandeglang
Cipeundeuy;Kab Bandung Barat
Cipeundeuy;Kab Subang
Cipicung;Kab Kuningan
Cipocok Jaya ;Kota Serang
Cipondoh ;Kota Tangerang
Cipongkor;Kab Bandung Barat
Cipunagara;Kab Subang
Ciputat ;Kab Tangerang
Ciracap;Kab SuKabumi
Ciracas;Kota Jakarta Timur
Ciranjang;Kab Cianjur
Cirebon Barat;Kota Cirebon
Cirebon;Kota Cirebon
Cirebon Selatan;Kab Cirebon
Cirebon Utara;Kab Cirebon
Cireunghas;Kab SuKabumi
Ciruas;Kab Serang
Cisaat;Kab SuKabumi
Cisaga;Kab Ciamis
Cisalak;Kab Subang
Cisarua ;Kab Bandung Barat
Cisarua ;Kab Bogor
Cisarua;Kab Sumedang
Cisata;Kab Pandeglang
Cisauk;Kab Tangerang
Cisayong;Kab Tasikmalaya
Ciseeng;Kab Bogor
Cisewu;Kab Garut
Cisitu;Kab Sumedang
Cisoka;Kab Tangerang
Cisolok;Kab SuKabumi
Cisompet;Kab Garut
Cisurupan;Kab Garut
Citak Mitak;Kab Mappi
Citamiang;Kota SuKabumi
Citangkil;Kota Cilegon
Citeureup;Kab Bogor
Ciwandan;Kota Cilegon
Ciwaringin;Kab Cirebon
Ciwaru ;Kab Kuningan
Ciwidey;Kab Bandung
Cluring;Kab Banyuwangi
Cluwak;Kab Pati
Coblong;Kota Bandung
Colomadu;Kab Karanganyar
Comal;Kab Pemalang
Compreng ;Kab Subang
Conggeang;Kab Sumedang
Cot Girek;Kab Aceh Utara
Cugenang;Kab Cianjur
Cukup Balak;Kab Tanggamus
Culamega;Kab Tasikmalaya
Curahdami;Kab Bondowoso
Curug;Kab Tangerang
Curug;Kota Serang
Curugbitung ;Kab Lebak
Curugkembar;Kab SuKabumi
Curup;Kab Rejang Lebong
Dabung Gelang;Kab Gayo Lues
Dagangan;Kab Madiun
Daha Barat ;Kab Hulu Sungai Selatan
Daha Selatan;Kab Hulu Sungai Selatan
Daha Utara;Kab Hulu Sungai Selatan
Daik;Kab Lingga
Damai;Kab Kutai Barat
Damer ;Kab Maluku Tenggara Barat
Dampal Selatan;Kab Toli-Toli
Dampal Utara;Kab Toli-Toli
Dampit;Kab Malang
Damsol;Kab Donggala
Danau Kembar;Kab Solok
Danau Kerinci;Kab Kerinci
Danau Panggang;Kab Hulu Sungai Utara
Danau Paris;Kab Aceh Singkil
Danau Sembuluh;Kab Seruyan
Danau Teluk;Kota Jambi
Dander;Kab Bojonegoro
Danurejan;Kota Yogyakarta
Darangdan;Kab Purwakarta
Darma;Kab Kuningan
Darmaraja;Kab Sumedang
Darul Aman;Kab Aceh Timur
Darul Hasanah;Kab Aceh Tenggara
Darul Iksan;Kab Aceh Timur
Darul Imarah;Kab Aceh Besar
Darul Kamal;Kab Aceh Besar
Darul Makmur;Kab Nagan Raya
Darussalam;Kab Aceh Besar
Dasuk;Kab Sumenep
Dataran Hunimoa;Kab Seram Bagian Timur
Datuk Bandar;Kota Tanjung Balai
Dau;Kab Malang
Dawan;Kab Klungkung
Dawarblandong;Kab Mojokerto
Dawe;Kab Kudus
Dawuan;Kab Majalengka
Dayeuhkolot;Kab Bandung
Dayeuhluhur;Kab Cilacap
Dayun;Kab Siak
Dedai;Kab Sintang
Deket;Kab Lamongan
Delang;Kab Lamandau
Delanggu;Kab Klaten
Deli Tua;Kab Deli Serdang
Delima;Kab Pidie
Delta Pawan ;Kab Ketapang
Demak;Kab Demak
Dempet;Kab Demak
Dempo Selatan;Kota Pagar Alam
Dempo Tengah;Kota Pagar Alam
Dempo Utara;Kota Pagar Alam
Demta;Kab Jayapura
Dendang;Kab Belitung Timur
Dendang;Kab Tanjung Jabung Timur
Denpasar Barat;Kota Denpasar
Denpasar;Kota Denpasar
Denpasar Selatan;Kota Denpasar
Denpasar Timur;Kota Denpasar
Denpina/Dende Piongan Napo;Kab Tana Toraja Utara
Depapre ;Kab Jayapura
Depok ;Kab Cirebon
Depok ;Kab Sleman
Depok;Kota Depok
Detukeli;Kab Ende
Detusoko;Kab Ende
Dewantara;Kab Aceh Utara
Dimembe;Kab Minahasa Utara
Dipa;Kab Nabire
Distrik Bomakia;Kab Boven Digoel
Distrik Ulilin;Kab Merauke
Diwek;Kab Jombang
Dlanggu;Kab Mojokerto
Dlingo;Kab Bantul
Dobo;Kab Kepulauan Aru
Doko;Kab Blitar
Dolo;Kab Donggala
Dolok Batunanggar;Kab Simalungun
Dolok;Kab Padang Lawas Utara
Dolok;Kab Tapanuli Selatan
Dolok Masihul;Kab Serdang Bedagai
Dolok Merawan;Kab Serdang Bedagai
Dolok Panribuan;Kab Simalungun
Dolok Pardamean;Kab Simalungun
Dolok Sanggul;Kab Humbang Hasundutan
Dolok Sigompulon;Kab Padang Lawas Utara
Dolok Sigompulon;Kab Tapanuli Selatan
Dolok Silau;Kab Simalungun
Dolopo;Kab Madiun
Dompak;Kota Tanjung Pinang
Dompu;Kab Dompu
Dondo;Kab Toli-Toli
Donggo;Kab Bima
Dongko;Kab Trenggalek
Donomulyo;Kab Malang
Donorojo;Kab Pacitan
Donri Donri;Kab Soppeng
Door;Kab Teluk Bintuni
Doro;Kab Pekalongan
Dramaga;Kab Bogor
Dringu;Kab Probolinggo
Driyorejo;Kab Gresik
Dua Boccoe;Kab Bone
Duampanua;Kab Pinrang
Duapitue;Kab Sidenreng Rappang
Duduk Sampeyan;Kab Gresik
Dukuh Pakis;Kota Surabaya
Dukuhseti;Kab Pati
Dukuhturi;Kab Tegal
Dukuhwaru;Kab Tegal
Dukun ;Kab Magelang
Dukun ;Kab Gresik
Dukupuntang;Kab Cirebon
Dulupi;Kab Boalemo
Dumai Barat;Kota Dumai
Dumai;Kota Dumai
Dumai Timur;Kota Dumai
Dumoga Barat;Kab Bolaang Mongondow
Dumoga Timur;Kab Bolaang Mongondow
Dumoga Utara;Kab Bolaang Mongondow
Dungingi;Kota Gorontalo
Dungkek;Kab Sumenep
Duren Sawit ;Kota Jakarta Timur
Durenan;Kab Trenggalek
Duri Mandau;Kab Bengkalis
Duruka Bone;Kab Muna
Dusun Hilir;Kab Barito Selatan
Dusun Selatan ;Kab Barito Selatan
Dusun Tengah;Kab Barito Timur
Dusun Timur;Kab Barito Timur
Dusun Utara;Kab Barito Selatan
Edera;Kab Mappi
Elar;Kab Manggarai Timur
Eligobel;Kab Merauke
Ella Hilir;Kab Melawi
Embaloh Hilir;Kab Kapuas Hulu
Embaloh Hulu;Kab Kapuas Hulu
Embau ;Kab Kapuas Hulu
Empanang;Kab Kapuas Hulu
Empang;Kab Sumbawa
Enarotali;Kab Paniai
Ende;Kab Ende
Ende Selatan;Kab Ende
Ende Tengah;Kab Ende
Ende Timur;Kab Ende
Ende Utara;Kab Ende
Enggano;Kab Bengkulu Utara
Enok;Kab Indragiri Hilir
Enrekang;Kab Enrekang
Enrekang Selatan;Kab Enrekang
Entikong;Kab Sanggau
Eremerasa;Kab Bantaeng
Eris;Kab Minahasa
Eromoko;Kab Wonogiri
Essang;Kab Kepulauan Talaud
Fafuwar;Kab Teluk Bintuni
Fakfak Barat;Kab Fak-Fak
FAK-FAK;Kab Fak-Fak
Fakfak Timur;Kab Fak-Fak
Fatuleu Barat;Kab Kupang
Fatuleu;Kab Kupang
Fatuleu Tengah;Kab Kupang
Fatumnasi;Kab Timor Tengah Selatan
Fawi;Kab Puncak Jaya
Fayit;Kab Asmat
Fef;Kab Sorong
Gabus ;Kab Grobogan
Gabus ;Kab Pati
Gabus Wetan ;Kab Indramayu
Gading Cempaka;Kota Bengkulu
Gading;Kab Probolinggo
Gading Rejo;Kab Tanggamus
Gadingrejo;Kota Pasuruan
Gadung;Kab Buol
Gajah;Kab Demak
Gajahmungkur;Kota Semarang
Galang ;Kab Toli-Toli
Galang ;Kota Batam
Galang;Kab Deli Serdang
Galela;Kab Halmahera Utara
Galesong Selatan;Kab Takalar
Galesong Utara;Kab Takalar
Galing;Kab Sambas
Galis ;Kab Bangkalan
Galis ;Kab Pamekasan
Galur;Kab Kulon Progo
Gambir ;Kota Jakarta Pusat
Gambiran;Kab Banyuwangi
Gambut;Kab Banjar
Gamelia;Kab Jayawijaya
Gampengrejo;Kab Kediri
Gamping;Kab Sleman
Ganda Pura;Kab Bireuen
Gandang Batu Silang;Kab Tana Toraja
Ganding;Kab Sumenep
Gandrungmangu;Kab Cilacap
Gandus;Kota Palembang
Gandusari ;Kab Blitar
Gandusari ;Kab Trenggalek
Gane Barat;Kab Halmahera Selatan
Gane Timur;Kab Halmahera Selatan
Ganeas;Kab Sumedang
Gangga;Kab Lombok Barat
Ganra;Kab Soppeng
Gantar;Kab Indramayu
Gantarang /Gantarangkindang/Ganking;Kab Bulukumba
Gantiwarno;Kab Klaten
Gantung;Kab Belitung Timur
Gapura;Kab Sumenep
Garawangi;Kab Kuningan
Garoga;Kab Tapanuli Utara
Garum;Kab Blitar
Garung;Kab Wonosobo
Garut Kota;Kab Garut
Garut, Kab. Garut;Kab Garut
Gatak;Kab Sukoharjo
Gaung Anak Serka;Kab Indragiri Hilir
Gaung;Kab Indragiri Hilir
Gayam;Kab Sumenep
Gayamsari;Kota Semarang
Gayungan;Kota Surabaya
Gebang ;Kab Cirebon
Gebang ;Kab Purworejo
Gebang;Kab Langkat
Gebe;Kab Halmahera Tengah
Gebog;Kab Kudus
Gedangan ;Kab Malang
Gedangan ;Kab Sidoarjo
Gedangsari;Kab Gunung Kidul
Gedeg;Kab Mojokerto
Gedong Tataan;Kab Pesawaran
Gedongtengen;Kota Yogyakarta
Gedung Aji;Kab Tulang Bawang
Gedung Meneng;Kab Tulang Bawang
Geger ;Kab Bangkalan
Geger ;Kab Madiun
Gegerbitung;Kab SuKabumi
Gegesik;Kab Cirebon
Gekbrong;Kab Cianjur
Gelumbang;Kab Muara Enim
Gemarang;Kab Madiun
Gemawang;Kab Temanggung
Gembong;Kab Pati
Gemeh;Kab Kepulauan Talaud
Gemolong;Kab Sragen
Gempol ;Kab Cirebon
Gempol ;Kab Pasuruan
Gemuh;Kab Kendal
Gending;Kab Probolinggo
Geneng;Kab Ngawi
Genteng ;Kab Banyuwangi
Genteng ;Kota Surabaya
Genuk;Kota Semarang
Gerogol;Kota Cilegon
Gerokgak;Kab Buleleng
Gerung;Kab Lombok Barat
Gerunggang;Kota Pangkal Pinang
Gesi;Kab Sragen
Getasan;Kab Semarang
Geumpang;Kab Pidie
Geyer;Kab Grobogan
Gianyar;Kab Gianyar
Gido;Kab Nias
Giligenteng;Kab Sumenep
Gilireng;Kab Wajo
Giri;Kab Banyuwangi
Giri Mulia;Kab Bengkulu Utara
Girimarto;Kab Wonogiri
Girimulyo;Kab Kulon Progo
Girisubo;Kab Gunung Kidul
Giritontro;Kab Wonogiri
Giriwoyo ;Kab Wonogiri
Girsang Sipangan Bolon;Kab Simalungun
Glagah;Kab Banyuwangi
Glagah;Kab Lamongan
Glenmore;Kab Banyuwangi
Gleumpang Baro;Kab Pidie
Glumpang Tiga;Kab Pidie
Godean;Kab Sleman
Godong;Kab Grobogan
Golewa;Kab Ngada
Gombong;Kab Kebumen
Gomo;Kab Nias Selatan
Gondang ;Kab Bojonegoro
Gondang ;Kab Mojokerto
Gondang ;Kab Nganjuk
Gondang ;Kab Tulungagung
Gondang;Kab Sragen
Gondang Wetan;Kab Pasuruan
Gondanglegi;Kab Malang
Gondangrejo;Kab Karanganyar
Gondokusuman;Kota Yogyakarta
Gondomanan;Kota Yogyakarta
Gorontalo;Kota Gorontalo
Grabag ;Kab Magelang
Grabag ;Kab Purworejo
Grabagan;Kab Tuban
Grati;Kab Pasuruan
Gresik;Kab Gresik
Gringsing;Kab Batang
Grobogan;Kab Grobogan
Grogol ;Kab Kediri
Grogol ;Kab Sukoharjo
Grogol ;Kota Jakarta Barat
Grong-Grong;Kab Pidie
Grujugan;Kab Bondowoso
Gu;Kab Buton Utara
Gubeng;Kota Surabaya
Gubug;Kab Grobogan
Gucialit;Kab Lumajang
Gudo;Kab Jombang
Guguk;Kab Lima Puluh Kota
Guguk Panjang;Kota Bukit Tinggi
Guluk-Guluk;Kab Sumenep
Gumelar;Kab Banyumas
Gumukmas;Kab Jember
Gunem;Kab Rembang
Guntur;Kab Demak
Gunung Bintang Awai ;Kab Barito Selatan
Gunung Guruh;Kab SuKabumi
Gunung Kerinci;Kab Kerinci
Gunung Kijang;Kab Bintan
Gunung Labuhan;Kab Way Kanan
Gunung Malela;Kab Simalungun
Gunung Maligas;Kab Simalungun
Gunung Mas;Kab Lima Puluh Kota
Gunung Megang;Kab Muara Enim
Gunung Meriah;Kab Aceh Singkil
Gunung Meriah;Kab Deli Serdang
Gunung Pelindung;Kab Lampung Timur
Gunung Purei;Kab Barito Utara
Gunung Putri ;Kab Bogor
GUNUNG PUYUH;Kota SuKabumi
Gunung Raya;Kab Kerinci
Gunung Sahilan;Kab Kampar
Gunung Sari;Kab Lombok Barat
Gunung Sindur ;Kab Bogor
Gunung Sitember;Kab Dairi
Gunung Sitoli;Kab Nias
Gunung Sugih;Kab Lampung Tengah
Gunung Tabur ;Kab Berau
Gunung Talang;Kab Solok
Gunung Tanjung ;Kab Tasikmalaya
Gunung Terang;Kab Tulang Bawang
Gunung Timang;Kab Barito Utara
Gunung Toar;Kab Kuantan Singingi
Gunung Tua;Kab Padang Lawas Utara
Gunung Tuleh;Kab Pasaman Barat
Gununganyar;Kota Surabaya
Gununghalu;Kab Bandung Barat
Gunungkencana;Kab Lebak
Gunungpati;Kota Semarang
Gunungwungkal;Kab Pati
Gurah;Kab Kediri
Habinsaran;Kab Toba Samosir
Haharu;Kab Sumba Timur
Haju;Kab Mappi
Halong;Kab Balangan
Halongonan;Kab Padang Lawas Utara
Halongonan;Kab Tapanuli Selatan
Hampang;Kab KOTABARU
Hamparan Perak;Kab Deli Serdang
Hamparan Rawang;Kab Kerinci
Hanau;Kab Seruyan
Hantakan ;Kab Hulu Sungai Tengah
Hantara;Kab Kuningan
Haranggaol Horisanz;Kab Simalungun
Harau;Kab Lima Puluh Kota
Harian;Kab Samosir
Harjamukti ;Kota Cirebon
Haruai;Kab Tabalong
Haruyan;Kab Hulu Sungai Tengah
Hatonduhan;Kab Simalungun
Hatungun;Kab tapin
Haurgeulis ;Kab Indramayu
Hawu Mehara;Kab Kupang
Hero Lange-Lange /Heralangelange/Herlang;Kab Bulukumba
Hibala;Kab Nias Selatan
Hiliduho;Kab Nias
Hiliran Gumanti;Kab Solok
Hinai;Kab Langkat
Hitadipa;Kab Intan Jaya
Homeyo;Kab Intan Jaya
Homeyo;Kab Paniai
Hubikosi;Kab Jayawijaya
Hulu Gurung;Kab Kapuas Hulu
Hulu Kuantan;Kab Kuantan Singingi
Hulu Sungai ;Kab Ketapang
Huristak;Kab Padang Lawas
Huristak;Kab Tapanuli Selatan
Huta Raja Tinggi;Kab Padang Lawas
Huta Raja Tinggi;Kab Tapanuli Selatan
Hutabayu Raja;Kab Simalungun
Hu'u;Kab Dompu
Ibu;Kab Halmahera Barat
Ibun;Kab Bandung
Idano Gawo;Kab Nias
Idi Rayeuk;Kab Aceh Timur
Idi Tuning;Kab Aceh Timur
II Koto;Kab Pasaman
II.X.XI.VI Lingkung;Kab Padang Pariaman
III Nagari;Kab Pasaman
Ilaga;Kab Puncak Jaya
Ile Ape;Kab Lembata
Ile Boleng;Kab Flores Timur
Ile Mandiri;Kab Flores Timur
Ilir Barat I;Kota Palembang
Ilir Barat II;Kota Palembang
Ilir Talo;Kab Seluma
Ilir Timur I;Kota Palembang
Ilir Timur II;Kota Palembang
Ilu;Kab Puncak Jaya
Imogiri;Kab Bantul
Inanwatan;Kab Sorong Selatan
Indihiang;Kota Tasikmalaya
Indra Makmur;Kab Aceh Timur
Indrajaya;Kab Pidie
Indralaya;Kab Ogan Ilir
Indramayu;Kab Indramayu
Indrapuri;Kab Aceh Besar
Ingin Jaya;Kab Aceh Besar
Insana;Kab Timor Tengah Utara
Insana Utara;Kab Timor Tengah Utara
Intan Jaya;Kab Intan Jaya
Inuman;Kab Kuantan Singingi
IV Angkat Canduang;Kab Agam
IV Jurai;Kab Pesisir Selatan
IV Koto Aur Malintang;Kab Padang Pariaman
IV Koto;Kab Agam
IV Nagari;Kab Sijunjung
Iwur ;Kab Pegunungan Bintang
IX Koto Sungai Lasi;Kab Solok
Jabon;Kab Sidoarjo
Jabung;Kab Malang
Jabung/Gunung balak;Kab Lampung Timur
Jagakarsa ;Kota Jakarta Selatan
Jagebob;Kab Merauke
Jagoi Babang;Kab Bengkayang
Jagong Jeget;Kab Aceh Tengah
Jailolo;Kab Halmahera Barat
Jailolo Selatan;Kab Halmahera Barat
Jair;Kab Boven Digoel
Jakarta Barat;Kota Jakarta Barat
Jakarta;DKI Jakarta
Jakarta Pusat;Kota Jakarta Pusat
Jakarta Selatan;Kota Jakarta Selatan
Jakarta Timur;Kota Jakarta Timur
Jakarta Utara;Kota Jakarta Utara
Jaken;Kab Pati
Jakenan;Kab Pati
Jalaksana;Kab Kuningan
Jalan Cagak ;Kab Subang
Jamanis;Kab Tasikmalaya
Jambangan;Kota Surabaya
Jambe;Kab Tangerang
Jambi;Kota Jambi
Jambi Luar Kota;Kab Muaro Jambi
Jambi Selatan;Kota Jambi
Jambi Timur;Kota Jambi
Jambon;Kab Ponorogo
Jambu;Kab Semarang
Jampang Kulon;Kab SuKabumi
Jampang Tengah;Kab SuKabumi
Janapria;Kab Lombok Tengah
Jangka Buya;Kab Pidie Jaya
Jangka;Kab Bireuen
Jangkang;Kab Sanggau
Jangkar;Kab Situbondo
Jangkat;Kab Merangin
Janto;Kab Aceh Besar
Japah;Kab Blora
Japara;Kab Kuningan
Jarai;Kab Lahat
Jaro;Kab Tabalong
Jasinga;Kab Bogor
Jaten;Kab Karanganyar
Jati ;Kab Blora
Jati ;Kab Kudus
Jati Agung;Kab Lampung Selatan
Jatiasih;Kota Bekasi
Jatibanteng;Kab Situbondo
Jatibarang ;Kab Brebes
Jatibarang;Kab Indramayu
Jatigede;Kab Sumedang
Jatikalen;Kab Nganjuk
Jatilawang;Kab Banyumas
Jatiluhur ;Kab Purwakarta
Jatinagara;Kab Ciamis
Jatinangor;Kab Sumedang
Jatinegara ;Kota Jakarta Timur
Jatinegara;Kab Tegal
Jatinom;Kab Klaten
Jatinunggal;Kab Sumedang
Jatipurno ;Kab Wonogiri
Jatipuro;Kab Karanganyar
Jatirejo;Kab Mojokerto
Jatirogo;Kab Tuban
Jatiroto ;Kab Wonogiri
Jatiroto;Kab Lumajang
Jatisampurna ;Kota Bekasi
Jatisari;Kab Karawang
Jatisrono;Kab Wonogiri
Jatitujuh;Kab Majalengka
Jatiuwung ;Kota Tangerang
Jatiwangi;Kab Majalengka
Jatiwaras;Kab Tasikmalaya
Jatiyoso;Kab Karanganyar
Jawa Maraja Bah Jambi;Kab Simalungun
Jawai;Kab Sambas
Jawai Selatan;Kab Sambas
Jawilan;Kab Serang
Jaya Baru;Kota Banda Aceh
Jaya;Kab Aceh Jaya
Jayakerta;Kab Karawang
Jayaloka;Kab Musi Rawas
Jayanti ;Kab Tangerang
Jayapura;Kota Jayapura
Jayapura Selatan;Kota Jayapura
Jayapura Utara;Kota Jayapura
Jebres;Kota Surakarta
Jebus;Kab Bangka Barat
Jejawi;Kab Ogan Komering Ilir
Jekan Raya;Kota Palangkaraya
Jekulo;Kab Kudus
Jelai Hulu;Kab Ketapang
Jelai;Kab Sukamara
Jelbuk;Kab Jember
Jelutung;Kota Jambi
Jemaja;Kab Natuna
Jemaja Timur ;Kab Natuna
Jember;Kab Jember
Jempang;Kab Kutai Barat
Jenamas;Kab Barito Selatan
Jenangan;Kab Ponorogo
Jenar;Kab Sragen
Jenawi;Kab Karanganyar
Jeneponto;Kab Jeneponto
Jenggawah ;Kab Jember
Jenu;Kab Tuban
Jepara;Kab Jepara
Jepon ;Kab Blora
Jere Buu;Kab Ngada
Jereweh;Kab Sumbawa Barat
Jerowaru;Kab Lombok Timur
Jeruklegi;Kab Cilacap
Jetis ;Kab Bantul
Jetis ;Kab Mojokerto
Jetis ;Kab Ponorogo
Jetis ;Kota Yogyakarta
Jeumpa;Kab Bireuen
