5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;CIBIRU;11000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;UJUNG BERUNG;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;SUKASARI;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;ANTAPANI (CICADAS);7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;CIDADAP;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;LENGKONG;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;ANDIR;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;ARCAMANIK;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;ASTANA ANYAR;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BABAKAN CIPARAY;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BANDUNG KIDUL;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BANDUNG KULON;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BANDUNG WETAN;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BATUNUNGGAL;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BOJONGLOA KALER;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BOJONGLOA KIDUL;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;CIBEUNYING KALER;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;CIBEUNYING KIDUL;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;CICENDO;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;COBLONG;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;KIARACONDONG;14000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;BUAHBATU (MARGACINTA);7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;RANCASARI;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;REGOL;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;SUKAJADI;28000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;SUMUR BANDUNG;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;CINAMBO;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;GEDEBAGE;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;MANDALAJATI;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;PANYILEUKAN;7000
5;Indonesia;Jawa Barat;KOTA  BANDUNG;KO;SOREANG;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;ARJASARI;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;BALEENDAH;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;BANJARAN;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;BOJONGSOANG;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;CANGKUANG;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;CICALENGKA;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;CIKANCUNG;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;CILENGKRANG;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;CILEUNYI;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;CIMAUNG;7000
5;Indonesia;Jawa Barat;KAB.BANDUNG;KO;CIMEUNYAN;7000
